"1, 2, 3 soleil",Zazie,1992
"1, 2, 3, 4",Maurice Chevalier,1946
"1, 2, 3, mickey, Donald et moi",Douchka,1984
"1,2,3",Camille,2002
"1,2,3",Natasha St-Pier,2008
"1,2,3 Here we go",Larusso,1999
1.2.3.4.,William Sheller,1976
1.Chandelle,Francis Cabrel,1981
10 ans,Alizée,2013
10 ans,Robert Charlebois,1979
10 jours avant paris,Sanseverino,2006
10.000 lightyears,Boney M,1984
100 % d'innocents,Marc Lavoine,1996
100 000 guitares,Line Renaud,1962
100 ans si tu m'aimes,Chimene Badi,2007
1000 vies,Stephan Eicher,1996
113e cigarette sans dormir,Hubert-Félix Thiéfaine,1981
13 ans,Robert Charlebois,1977
14 heures du matin,Emma Daumas,2016
15 ans,Georges Guétary,1959
"151, rue des Petits Destins",Michel Fugain,1978
16 ans j'vis en bretagne,Nicolas Peyrac,1980
16h00 qu'est-ce que tu fais,Jean-Louis Murat,2009
17 ans,Claude François,1975
17 ans,Jean Ferrat,1970
17 ans,Matt Pokora,2016
18 ans demain,Eddy Mitchell,1993
18 ans que J't'ai à l'oeil,Alain Souchon,1977
18-39,Jane Birkin,1969
1m.80 contre 1m.50,Lucienne Delyle,1958
2 be 3,2Be3,1997
2 minutes,Sinclair,2006
2’35 de bonheur,Sylvie Vartan,1967
20 ans,Pierre Bachelet,1987
20 ans,Zazie,2013
2000 ans et un jour,Michel Fugain,1998
2000 raisons,Axel Bauer,2000
2001 le pied sur la lune,Pierre Bachelet,1987
2'35 de bonheur,Sylvie Vartan,1967
23tears,Stéphane Grappelli,2003
24 000 baisers,Johnny Hallyday,1961
24 decembre au soir,Michel Delpech,1974
24 heures dans la nuit d'un faune,Hubert-Félix Thiéfaine,1996
24 Heures par jour,Henri Salvador,1949
24 semaines,Jeanne Mas,1996
24h01,Renan Luce,2006
25 piges dont 5 au cachot,Michel Jonasz,1979
25eme anniversaire,Enrico Macias,1987
"27, rue des accacias",Marie-Paule Belle,1982
27e heure : suite faunesque,Hubert-Félix Thiéfaine,1998
29 avril au 28 mai,Vincent Delerm,2006
"3,14...",Marianne James,2006
"3,5,7",Patrick Fiori,2010
3° sexe,Indochine,1985
30 years outside,Charlélie couture,2016
32 fahrenheit,Jane Birkin,1990
365 jours,Georges Guétary,1964
37eme étage,Johnny Hallyday,1975
38° and you,Cerrone,2001
4 mots sur un piano,Patrick Fiori,2005
4 petits lapins roses,Chantal Goya,1981
4 real,Avril Lavigne,2011
4 the love,Bob Sinclar,2007
4 x 4,Nino Ferrer,1983
40 000 enfants,Gérard Lenorman,1993
40 a l'ombre,Jean-Patrick Capdevielle,1985
40 ans,Arno,1986
40 ans demain,Christophe Maé,2016
4000 années d'horreur,Etienne Daho,1986
42 colonnes corinthiennes,Marie-Paule Belle,1982
5 in the morning,David Guetta,2006
"5, avenue Marceau",Alain Chamfort,2010
"5,4,3,2,1,0",Plastic Bertrand,1978
50 degré de fièvre,Francis Lemarque,1963
"50,000,000 d'hommes",Robert Charlebois,1967
52over the Rainbow,Stéphane Grappelli,2009
542 lunes et 7 jours environ,Hubert-Félix Thiéfaine,1990
55 millions de Gaulois,Pétula clark,1977
58th street-NY,Charlélie couture,2011
5ème étage,Véronique Sanson,2004
"62, nos quinze ans",Michel Delpech,1972
